# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
8.000000000000001164e+05,2.880000000000000000e+03,9.855640657891204683e+03,-4.632837920570338497e+00,6.406003755289509627e+02
8.000000000000001164e+05,2.920000000000000000e+03,9.846414578919107953e+03,-4.628221549116877220e+00,6.453181987681232386e+02
8.000000000000001164e+05,2.960000000000000000e+03,9.837099113426269469e+03,-4.623645125294844505e+00,6.500454847681759247e+02
8.000000000000001164e+05,3.000000000000000000e+03,9.827694346544834843e+03,-4.619107939164014631e+00,6.547818305729914528e+02
8.000000000000001164e+05,3.040000000000000000e+03,9.818200368901954789e+03,-4.614609464647862147e+00,6.595268540417273471e+02
8.000000000000001164e+05,3.080000000000000000e+03,9.808617276269162176e+03,-4.610148999322926322e+00,6.642802526789844251e+02
8.000000000000001164e+05,3.120000000000000000e+03,9.798945169175352930e+03,-4.605725897787515954e+00,6.690417635976602924e+02
8.000000000000001164e+05,3.160000000000000000e+03,9.789184152449739486e+03,-4.601339573084026746e+00,6.738111616013948151e+02
8.000000000000001164e+05,3.200000000000000000e+03,9.779334334888557350e+03,-4.596989453679551474e+00,6.785882648286465155e+02
8.000000000000001164e+05,3.240000000000000000e+03,9.769395828882581554e+03,-4.592674809585163942e+00,6.833729600068752461e+02
8.000000000000001164e+05,3.280000000000000000e+03,9.759368750167741382e+03,-4.588395083167937649e+00,6.881651437118689500e+02
8.000000000000001164e+05,3.320000000000000000e+03,9.749253217446846975e+03,-4.584149615091331675e+00,6.929647707373144385e+02
8.000000000000001164e+05,3.360000000000000000e+03,9.739049352251846358e+03,-4.579937861136881949e+00,6.977718119833949686e+02
8.000000000000001164e+05,3.400000000000000000e+03,9.728757278597464392e+03,-4.575759130852477874e+00,7.025863035729528292e+02
8.000000000000001164e+05,3.440000000000000000e+03,9.718377122837744537e+03,-4.571612911312332272e+00,7.074082751748120472e+02
8.000000000000001164e+05,3.480000000000000000e+03,9.707909013481321381e+03,-4.567498559597318319e+00,7.122378155398150739e+02
8.000000000000001164e+05,3.520000000000000000e+03,9.697353081036953881e+03,-4.563415496003661254e+00,7.170750291041829314e+02
8.000000000000001164e+05,3.560000000000000000e+03,9.686709457857292364e+03,-4.559363227112481098e+00,7.219200342391467302e+02
8.500000000000001164e+05,1.600000000000000000e+03,1.021624285207175126e+04,-4.825029092848020618e+00,4.964853786340898978e+02
8.500000000000001164e+05,1.640000000000000000e+03,1.021008831158272915e+04,-4.819034816950662048e+00,5.000864386564741153e+02
8.500000000000001164e+05,1.680000000000000000e+03,1.020385048275232657e+04,-4.813086071576099023e+00,5.037511627742251790e+02
8.500000000000001164e+05,1.720000000000000000e+03,1.019753273590578465e+04,-4.807182991369045588e+00,5.074763245733332724e+02
8.500000000000001164e+05,1.760000000000000000e+03,1.019113286061248982e+04,-4.801325775779707428e+00,5.112589643735122991e+02
8.500000000000001164e+05,1.800000000000000000e+03,1.018465053107031417e+04,-4.795514785821344717e+00,5.150961424027191242e+02
8.500000000000001164e+05,1.840000000000000000e+03,1.017808543990213366e+04,-4.789750065305613091e+00,5.189850238488403420e+02
8.500000000000001164e+05,1.880000000000000000e+03,1.017143729855692618e+04,-4.784031930634685459e+00,5.229228528846032305e+02
8.500000000000001164e+05,1.920000000000000000e+03,1.016470583762743991e+04,-4.778360579841639755e+00,5.269069693225567335e+02
8.500000000000001164e+05,1.960000000000000000e+03,1.015789080673188255e+04,-4.772736005904921974e+00,5.309348187667391130e+02
8.500000000000001164e+05,2.000000000000000000e+03,1.015099197476560948e+04,-4.767158659260002374e+00,5.350039144073574562e+02
8.500000000000001164e+05,2.040000000000000000e+03,1.014400912953314219e+04,-4.761628367197311640e+00,5.391118968028575864e+02
8.500000000000001164e+05,2.080000000000000000e+03,1.013694207759703204e+04,-4.756145310944333460e+00,5.432564801831931618e+02
8.500000000000001164e+05,2.120000000000000000e+03,1.012979064395822570e+04,-4.750709462791873783e+00,5.474354836672958982e+02
8.500000000000001164e+05,2.160000000000000000e+03,1.012255467172047065e+04,-4.745320797397832635e+00,5.516468196203038588e+02
8.500000000000001164e+05,2.200000000000000000e+03,1.011523402151836672e+04,-4.739979281806284916e+00,5.558884897378394498e+02
8.500000000000001164e+05,2.240000000000000000e+03,1.010782857121996130e+04,-4.734684792029520750e+00,5.601585936501634251e+02
8.500000000000001164e+05,2.280000000000000000e+03,1.010033821521687969e+04,-4.729437179137837788e+00,5.644553214475090499e+02
8.500000000000001164e+05,2.320000000000000000e+03,1.009276286392672773e+04,-4.724236234550524216e+00,5.687769571224908987e+02
8.500000000000001164e+05,2.360000000000000000e+03,1.008510244318996229e+04,-4.719081763587934297e+00,5.731218692114698570e+02
8.500000000000001164e+05,2.400000000000000000e+03,1.007735689373335481e+04,-4.713973427767281343e+00,5.774885212741730811e+02
8.500000000000001164e+05,2.440000000000000000e+03,1.006952617044198269e+04,-4.708910986304220003e+00,5.818754516818142974e+02
8.500000000000001164e+05,2.480000000000000000e+03,1.006161024175319289e+04,-4.703894144409548339e+00,5.862812877199786499e+02
